Year,GeoMag N Lat,GeoMag N Long,GeoMag S Lat,GeoMag S Long,N Mag Lat,N Mag Long,S Mag Lat,S Mag Long,Magnitude (10^22 A m2)
1900,1.373574121,-1.200786525,-1.373574121,1.940806128,1.230457123,-1.67900674,-1.251401074,2.588323281,8.32
1905,1.373574121,-1.199041196,-1.373574121,1.942551457,1.233947781,-1.684242728,-1.247910415,2.591813939,8.3
1910,1.373574121,-1.199041196,-1.373574121,1.942551457,1.23569311,-1.687733387,-1.242674427,2.593559268,8.27
1915,1.371828792,-1.197295867,-1.371828792,1.944296787,1.239183769,-1.692969374,-1.23569311,2.591813939,8.24
1920,1.371828792,-1.193805208,-1.371828792,1.947787445,1.244419757,-1.699950691,-1.228711793,2.586577951,8.2
1925,1.371828792,-1.192059879,-1.371828792,1.949532774,1.253146403,-1.710422667,-1.221730476,2.576105976,8.16
1930,1.371828792,-1.192059879,-1.371828792,1.949532774,1.261873049,-1.722639972,-1.21300383,2.562143342,8.13
1935,1.371828792,-1.193805208,-1.371828792,1.947787445,1.270599695,-1.733111947,-1.206022513,2.544690049,8.11
1940,1.370083463,-1.195550538,-1.370083463,1.946042116,1.279326342,-1.743583923,-1.197295867,2.523746098,8.09
1945,1.370083463,-1.195550538,-1.370083463,1.946042116,1.289798317,-1.74881991,-1.19031455,2.52025544,8.08
1950,1.370083463,-1.200786525,-1.370083463,1.940806128,1.302015622,-1.761037215,-1.185078562,2.504547477,8.06
1955,1.370083463,-1.207767842,-1.370083463,1.933824811,1.312487597,-1.769763862,-1.172861257,2.469640892,8.05
1960,1.371828792,-1.21300383,-1.371828792,1.928588823,1.314232927,-1.762782545,-1.164134611,2.446951611,8.03
1965,1.371828792,-1.219985147,-1.371828792,1.921607506,1.319468915,-1.768018532,-1.157153294,2.434734307,8
1970,1.373574121,-1.225221135,-1.373574121,1.916371519,1.324704902,-1.762782545,-1.151917306,2.432988977,7.97
1975,1.375319451,-1.230457123,-1.375319451,1.911135531,1.32994089,-1.755801228,-1.146681319,2.434734307,7.94
1980,1.37706478,-1.23569311,-1.37706478,1.905899543,1.342158195,-1.774999849,-1.141445331,2.431243648,7.91
1985,1.378810109,-1.23743844,-1.378810109,1.904154214,1.350884841,-1.790707813,-1.136209343,2.429498319,7.87
1990,1.382300768,-1.240929098,-1.382300768,1.900663555,1.363102146,-1.809906434,-1.132718685,2.424262331,7.84
1995,1.385791426,-1.246165086,-1.385791426,1.895427568,1.378810109,-1.837831702,-1.130973355,2.420771673,7.81
2000,1.389282085,-1.249655744,-1.389282085,1.891936909,1.413716694,-1.91288086,-1.129228026,2.413790356,7.79
2005,1.392772743,-1.253146403,-1.392772743,1.888446251,1.452113938,-2.062979176,-1.125737368,2.405063709,7.77
2010,1.398008731,-1.26012772,-1.398008731,1.881464934,1.483529864,-2.317797247,-1.123992038,2.396337063,7.75
2011,1.398008731,-1.261873049,-1.398008731,1.879719604,1.490511181,-2.398082392,-1.123992038,2.394591734,7.74
2012,1.39975406,-1.263618378,-1.39975406,1.877974275,1.495747169,-2.487094184,-1.123992038,2.391101075,7.74
2013,1.401499389,-1.265363708,-1.401499389,1.876228946,1.499237827,-2.583087293,-1.122246709,2.389355746,7.73
2014,1.401499389,-1.265363708,-1.401499389,1.876228946,1.502728486,-2.686061719,-1.122246709,2.385865087,7.73
2015,1.403244719,-1.267109037,-1.403244719,1.874483617,1.506219144,-2.792526803,-1.122246709,2.384119758,7.72
2016,1.403244719,-1.268854366,-1.403244719,1.872738287,1.507964474,-2.902482546,-1.12050138,2.3806291,7.72
2017,1.404990048,-1.270599695,-1.404990048,1.870992958,1.509709803,-3.012438289,-1.12050138,2.37888377,7.72
2018,1.404990048,-1.274090354,-1.404990048,1.8675023,1.509709803,-3.120648703,-1.12050138,2.375393112,7.71
2019,1.406735377,-1.275835683,-1.406735377,1.86575697,1.507964474,3.059562179,-1.118756051,2.371902453,7.71
2020,1.406735377,-1.277581012,-1.406735377,1.864011641,1.507964474,2.96356907,-1.118756051,2.370157124,7.7
